ID,_Event_Mission_Group,_Mission_Index,_Event_Mission_Name,_Event_Mission_Description,_Event_Mission_Kind1,_Event_Mission_ID1,_Event_Mission_Count1,_Event_Mission_Reward_Point
22092601,1,1,上線時間 (分鐘),上線時間達 30 分鐘,10,1,30,30
22092602,1,1,完成「阿爾珂的祝福」,完成「阿爾珂的祝福」1 次,7,123920425,1,35
22092603,1,1,領取「登入時間」獎勵,領取「登入時間」獎勵 2 次,16,1,2,35
22092604,1,1,消滅任意怪物,"消滅任意怪物 4,000 隻",1,1,4000,50
22092605,1,1,消滅副本Boss,消滅副本Boss 3 隻,1,2,3,50
22092606,2,1,領取「登入時間」獎勵,領取「登入時間」獎勵 6 次,16,1,6,60
22092607,2,1,完成「阿爾珂的祝福」,完成「阿爾珂的祝福」2 次,7,123920425,2,60
22092608,2,1,消滅副本Boss,消滅副本Boss 15 隻,1,2,15,200
22092609,2,1,消滅任意怪物,"消滅任意怪物 12,000 隻",1,1,12000,220
22092610,3,1,完成「阿爾珂的祝福」,完成「阿爾珂的祝福」3 次,7,123920425,3,90
22092611,3,1,完成每日任務,完成每日任務 10 個,6,1,10,60
22092612,3,1,消滅副本Boss,消滅副本Boss 15 隻,1,2,15,200
22092613,3,1,消滅任意怪物,"消滅任意怪物 12,000 隻",1,1,12000,220
22092614,4,1,上線時間 (分鐘),上線時間達 150 分鐘,10,1,150,80
22092615,4,1,完成「阿爾珂的祝福」,完成「阿爾珂的祝福」3 次,7,123920425,3,90
22092616,4,1,消滅副本Boss,消滅副本Boss 15 隻,1,2,15,200
22092617,4,1,消滅任意怪物,"消滅任意怪物 12,000 隻",1,1,12000,220
22102401,1,1,上線時間 (分鐘),上線時間達 30 分鐘,10,1,30,30
22102402,1,1,完成「每天都有幫忙哦！」任務,完成「每天都有幫忙哦！」任務 1 次,7,123920438,1,35
22102403,1,1,完成召喚獸訓練,完成召喚獸訓練 1 次,8,1,1,30
22102404,1,1,消滅任意怪物,"消滅任意怪物 4,000 隻",1,1,4000,50
22102405,1,1,完成每日任務,完成每日任務 10 個,6,1,10,40
22102406,2,1,上線時間 (分鐘),上線時間達 150 分鐘,10,1,150,80
22102407,2,1,完成「每天都有幫忙哦！」任務,完成「每天都有幫忙哦！」任務 3 次,7,123920438,3,145
22102408,2,1,完成召喚獸訓練,完成召喚獸訓練 6 次,8,1,6,150
22102409,2,1,消滅任意怪物,"消滅任意怪物 12,000 隻",1,1,12000,220
22102410,3,1,完成召喚獸訓練,完成召喚獸訓練 6 次,8,1,6,150
22102411,3,1,完成「每天都有幫忙哦！」任務,完成「每天都有幫忙哦！」任務 3 次,7,123920438,3,145
22102412,3,1,消滅副本Boss,消滅副本Boss 15 隻,1,2,15,200
22102413,3,1,消滅任意怪物,"消滅任意怪物 12,000 隻",1,1,12000,220
22102414,4,1,完成每日任務,完成每日任務 50 個,6,1,50,150
22102415,4,1,完成「每天都有幫忙哦！」任務,完成「每天都有幫忙哦！」任務 4 次,7,123920438,4,250
22102416,4,1,消滅任意怪物,"消滅任意怪物 12,000 隻",1,1,12000,220
22102417,4,1,消滅副本Boss,消滅副本Boss 15 隻,1,2,15,200
22110401,1,1,在線時間 (分鐘),累積在線時間達 30 分鐘,10,1,30,30
22110402,1,1,完成召喚獸訓練,完成召喚獸訓練 1 次,8,1,1,30
22110403,1,1,消滅副本Boss,消滅副本Boss 5 隻,1,2,5,50
22110404,1,1,消滅任意怪物,"消滅任意怪物 4,000 隻",1,1,4000,50
22110405,1,1,完成每日任務,完成每日任務 10 次,6,1,10,40
22110406,2,1,完成召喚獸訓練,完成召喚獸訓練 4 次,8,1,4,90
22110407,2,1,消滅副本Boss,消滅副本Boss 20 隻,1,2,20,200
22110408,2,1,消滅任意怪物,"消滅任意怪物 12,000 隻",1,1,12000,150
22110409,2,1,完成每日任務,完成每日任務 20 次,6,1,20,100
22110410,2,1,在線時間 (分鐘),累積在線時間達 200 分鐘,10,1,200,100
22110411,3,1,完成召喚獸訓練,完成召喚獸訓練 5 次,8,1,5,120
22110412,3,1,消滅副本Boss,消滅副本Boss 25 隻,1,2,25,250
22110413,3,1,消滅任意怪物,"消滅任意怪物 18,000 隻",1,1,18000,250
22110414,3,1,完成每日任務,完成每日任務 30 次,6,1,30,150
22110415,3,1,在線時間 (分鐘),累積在線時間達 300 分鐘,10,1,300,150
22110416,4,1,完成召喚獸訓練,完成召喚獸訓練 4 次,8,1,4,90
22110417,4,1,消滅副本Boss,消滅副本Boss 20 隻,1,2,20,200
22110418,4,1,消滅任意怪物,"消滅任意怪物 12,000 隻",1,1,12000,150
22110419,4,1,完成每日任務,完成每日任務 20 次,6,1,20,100
22110420,4,1,在線時間 (分鐘),累積在線時間達 200 分鐘,10,1,200,100
22110421,5,1,完成召喚獸訓練,完成召喚獸訓練 5 次,8,1,5,120
22110422,5,1,消滅副本Boss,消滅副本Boss 25 隻,1,2,25,250
22110423,5,1,消滅任意怪物,"消滅任意怪物 18,000 隻",1,1,18000,250
22110424,5,1,完成每日任務,完成每日任務 30 次,6,1,30,150
22110425,5,1,在線時間 (分鐘),累積在線時間達 300 分鐘,10,1,300,150
22110426,6,1,完成召喚獸訓練,完成召喚獸訓練 8 次,8,1,8,200
22110427,6,1,消滅副本Boss,消滅副本Boss 50 隻,1,2,50,500
22110428,6,1,消滅任意怪物,"消滅任意怪物 32,000 隻",1,1,32000,600
22110429,6,1,完成每日任務,完成每日任務 50 次,6,1,50,300
22110430,6,1,在線時間 (分鐘),累積在線時間達 300 分鐘,10,1,300,150
22120201,1,1,在線時間 (分鐘),累積在線時間達 30 分鐘,10,1,30,30
22120202,1,1,完成「佚失的歌譜…」任務,完成「佚失的歌譜…」任務 1 次,7,123920443,1,30
22120203,1,1,消滅副本Boss,消滅副本Boss 5 隻,1,2,5,40
22120204,1,1,消滅任意怪物,"消滅任意怪物 4,000 隻",1,1,4000,50
22120205,1,1,完成每日任務,完成每日任務 10 次,6,1,10,40
22120206,2,1,蒐集「聖夜鐘」,蒐集「聖夜鐘」 3 個,5,1300001486,3,60
22120207,2,1,消滅副本Boss,消滅副本Boss 20 隻,1,2,20,160
22120208,2,1,消滅任意怪物,"消滅任意怪物 12,000 隻",1,1,12000,150
22120209,2,1,完成每日任務,完成每日任務 20 次,6,1,20,100
22120210,2,1,在線時間 (分鐘),累積在線時間達 200 分鐘,10,1,200,100
22120211,3,1,蒐集「聖夜鐘」,蒐集「聖夜鐘」 4 個,5,1300001486,4,80
22120212,3,1,消滅副本Boss,消滅副本Boss 25 隻,1,2,25,200
22120213,3,1,消滅任意怪物,"消滅任意怪物 18,000 隻",1,1,18000,250
22120214,3,1,完成每日任務,完成每日任務 30 次,6,1,30,150
22120215,3,1,在線時間 (分鐘),累積在線時間達 300 分鐘,10,1,300,150
22120216,4,1,蒐集「聖夜鐘」,蒐集「聖夜鐘」 3 個,5,1300001486,3,60
22120217,4,1,消滅副本Boss,消滅副本Boss 20 隻,1,2,20,160
22120218,4,1,消滅任意怪物,"消滅任意怪物 12,000 隻",1,1,12000,150
22120219,4,1,完成每日任務,完成每日任務 20 次,6,1,20,100
22120220,4,1,在線時間 (分鐘),累積在線時間達 200 分鐘,10,1,200,100
22120221,5,1,蒐集「聖夜鐘」,蒐集「聖夜鐘」 4 個,5,1300001486,4,80
22120222,5,1,消滅副本Boss,消滅副本Boss 25 隻,1,2,25,200
22120223,5,1,消滅任意怪物,"消滅任意怪物 18,000 隻",1,1,18000,250
22120224,5,1,完成每日任務,完成每日任務 30 次,6,1,30,150
22120225,5,1,在線時間 (分鐘),累積在線時間達 300 分鐘,10,1,300,150
22120226,6,1,蒐集「聖夜鐘」,蒐集「聖夜鐘」 6 個,5,1300001486,6,150
22120227,6,1,消滅副本Boss,消滅副本Boss 50 隻,1,2,50,400
22120228,6,1,消滅任意怪物,"消滅任意怪物 32,000 隻",1,1,32000,600
22120229,6,1,完成每日任務,完成每日任務 50 次,6,1,50,300
22120230,6,1,在線時間 (分鐘),累積在線時間達 300 分鐘,10,1,300,150
22122101,1,1,完成召喚獸訓練,完成召喚獸訓練 1 次,8,1,1,30
22122102,1,1,完成「蒐集紅包袋」任務,完成「蒐集紅包袋」任務 1 次,7,123920451,1,30
22122103,1,1,消滅副本Boss,消滅副本Boss 5 隻,1,2,5,40
22122104,1,1,消滅任意怪物,"消滅任意怪物 4,000 隻",1,1,4000,50
22122105,1,1,完成每日任務,完成每日任務 10 次,6,1,10,40
22122106,2,1,蒐集「鼓鼓的紅包袋」,蒐集「鼓鼓的紅包袋」 3 個,5,1300001500,3,60
22122107,2,1,消滅副本Boss,消滅副本Boss 20 隻,1,2,20,160
22122108,2,1,消滅任意怪物,"消滅任意怪物 12,000 隻",1,1,12000,150
22122109,2,1,完成每日任務,完成每日任務 20 次,6,1,20,100
22122110,2,1,完成召喚獸訓練,完成召喚獸訓練 4 次,8,1,4,100
22122111,3,1,蒐集「鼓鼓的紅包袋」,蒐集「鼓鼓的紅包袋」 4 個,5,1300001500,4,80
22122112,3,1,消滅副本Boss,消滅副本Boss 25 隻,1,2,25,200
22122113,3,1,消滅任意怪物,"消滅任意怪物 18,000 隻",1,1,18000,250
22122114,3,1,完成每日任務,完成每日任務 30 次,6,1,30,150
22122115,3,1,完成召喚獸訓練,完成召喚獸訓練 5 次,8,1,5,150
22122116,4,1,蒐集「鼓鼓的紅包袋」,蒐集「鼓鼓的紅包袋」 3 個,5,1300001500,3,60
22122117,4,1,消滅副本Boss,消滅副本Boss 20 隻,1,2,20,160
22122118,4,1,消滅任意怪物,"消滅任意怪物 12,000 隻",1,1,12000,150
22122119,4,1,完成每日任務,完成每日任務 20 次,6,1,20,100
22122120,4,1,完成召喚獸訓練,完成召喚獸訓練 4 次,8,1,4,100
22122121,5,1,蒐集「鼓鼓的紅包袋」,蒐集「鼓鼓的紅包袋」 4 個,5,1300001500,4,80
22122122,5,1,消滅副本Boss,消滅副本Boss 25 隻,1,2,25,200
22122123,5,1,消滅任意怪物,"消滅任意怪物 18,000 隻",1,1,18000,250
22122124,5,1,完成每日任務,完成每日任務 30 次,6,1,30,150
22122125,5,1,完成召喚獸訓練,完成召喚獸訓練 5 次,8,1,5,150
22122126,6,1,蒐集「鼓鼓的紅包袋」,蒐集「鼓鼓的紅包袋」 6 個,5,1300001500,6,150
22122127,6,1,消滅副本Boss,消滅副本Boss 50 隻,1,2,50,400
22122128,6,1,消滅任意怪物,"消滅任意怪物 32,000 隻",1,1,32000,600
22122129,6,1,完成每日任務,完成每日任務 50 次,6,1,50,300
22122130,6,1,完成召喚獸訓練,完成召喚獸訓練 10 次,8,1,10,200
23012601,1,1,組合成功,組合成功 4 次,13,0,4,40
23012602,1,1,完成召喚獸訓練,完成召喚獸訓練 2 次,8,1,2,30
