ID,_Rank,_ItemID,_ItemRare,_ItemCount,_Ely,_Description,_IconFile,_IconIndex,_Use,_Fx1,_Fx2,_Message,_Red,_Green,_Blue,_SoundEffect,_Name
1,1,190146277,1,1,0,,10001317,195,1,15105,15110,☆☆☆☆☆ 獲得第1名 ☆☆☆☆☆,255,214,71,679,
2,1,190150902,1,5,0,,10001307,208,1,15105,15110,☆☆☆☆☆ 獲得第1名 ☆☆☆☆☆,255,214,71,679,
3,1,190146852,1,1,0,,10001312,153,1,15105,15110,☆☆☆☆☆ 獲得第1名 ☆☆☆☆☆,255,214,71,679,
4,2,190147204,1,1,0,,10001306,138,1,15106,15111,★★★獲得第2名★★★,255,255,255,678,
5,2,190144089,1,1,0,,10001302,195,1,15106,15111,★★★獲得第2名★★★,255,255,255,678,
6,2,190160313,1,1,0,,10001302,196,1,15106,15111,★★★獲得第2名★★★,255,255,255,678,
7,3,170195336,1,1,0,,10001303,46,1,15106,15112,☆獲得第3名☆,198,156,109,678,
8,3,170171251,1,1,0,,10001306,104,1,15106,15112,☆獲得第3名☆,198,156,109,678,
9,3,1300001344,1,1,0,,10001306,144,1,15106,15112,☆獲得第3名☆,198,156,109,678,
10,4,190146651,1,20,0,,10001312,95,1,15107,15113,第4名,255,143,147,677,
11,5,190145607,1,1,0,,10001310,12,1,15107,15114,第5名,255,143,147,677,
12,6,300199019,1,10,0,,10001319,196,1,15108,15115,第6名,255,143,147,676,
13,7,190145849,1,1,0,,10001313,168,1,15108,15116,第7名,255,143,147,676,
14,8,170195216,1,1,0,,10001318,76,1,15109,15117,第8名,179,163,163,675,
15,9,170171340,1,1,0,,10001300,45,1,15109,15118,第9名,179,163,163,675,
16,10,170171241,1,2,0,,10001314,87,1,15109,15119,第10名,179,163,163,675,
